"","subfolder","snapshot_time","year","time","package","version","submission_time","howlongago","submitted","folder"
"83","newbies",2020-09-12 07:13:00,"2020","17:01","DynComm","2020.1.5",2020-09-09 15:01:00,2.7,"2.7 day(s) ago","newbies"
"84","newbies",2020-09-12 07:13:00,"2020","15:24","IRTBEMM","1.0.4",2020-09-09 13:24:00,2.7,"2.7 day(s) ago","newbies"
"85","newbies",2020-09-12 07:13:00,"2020","17:33","eiCompare","3.0.0",2020-09-09 15:33:00,2.7,"2.7 day(s) ago","newbies"
"86","newbies",2020-09-12 07:13:00,"2020","17:34","mvGPS","1.0.2",2020-09-09 15:34:00,2.7,"2.7 day(s) ago","newbies"
"87","newbies",2020-09-12 07:13:00,"2020","14:41","fairsubset","1.0",2020-09-09 12:41:00,2.8,"2.8 day(s) ago","newbies"
"88","newbies",2020-09-12 07:13:00,"2020","14:20","rinat","0.1.6",2020-09-09 12:20:00,2.8,"2.8 day(s) ago","newbies"
"89","newbies",2020-09-12 07:13:00,"2020","13:06","zipcodeR","0.1.0",2020-09-09 11:06:00,2.8,"2.8 day(s) ago","newbies"
"90","newbies",2020-09-12 07:13:00,"2020","12:12","disdat","1.0-0",2020-09-09 10:12:00,2.9,"2.9 day(s) ago","newbies"
"91","newbies",2020-09-12 07:13:00,"2020","11:58","icesVocab","1.1.6",2020-09-09 09:58:00,2.9,"2.9 day(s) ago","newbies"
"92","newbies",2020-09-12 07:13:00,"2020","11:26","lefko3","2.4.2",2020-09-09 09:26:00,2.9,"2.9 day(s) ago","newbies"
"93","newbies",2020-09-12 07:13:00,"2020","10:56","metabolic","0.1.0",2020-09-09 08:56:00,2.9,"2.9 day(s) ago","newbies"
"94","newbies",2020-09-12 07:13:00,"2020","11:44","rct3","1.0.3",2020-09-09 09:44:00,2.9,"2.9 day(s) ago","newbies"
"95","newbies",2020-09-12 07:13:00,"2020","09:22","textshaping","0.1.0",2020-09-09 07:22:00,3,"3 day(s) ago","newbies"
"96","newbies",2020-09-12 07:13:00,"2020","07:19","corona","0.2.0",2020-09-09 05:19:00,3.1,"3.1 day(s) ago","newbies"
"97","newbies",2020-09-12 07:13:00,"2020","02:39","incidental","0.1",2020-09-09 00:39:00,3.3,"3.3 day(s) ago","newbies"
"98","newbies",2020-09-12 07:13:00,"2020","22:25","simscaleR","0.1.0",2020-09-08 20:25:00,3.4,"3.4 day(s) ago","newbies"
"99","newbies",2020-09-12 07:13:00,"2020","21:07","CNVRG","0.1",2020-09-08 19:07:00,3.5,"3.5 day(s) ago","newbies"
"100","newbies",2020-09-12 07:13:00,"2020","19:48","AGPRIS","1.0",2020-09-08 17:48:00,3.6,"3.6 day(s) ago","newbies"
"101","newbies",2020-09-12 07:13:00,"2020","19:36","genset","0.1.0",2020-09-08 17:36:00,3.6,"3.6 day(s) ago","newbies"
"102","newbies",2020-09-12 07:13:00,"2020","16:30","RCGLS","1.0.3",2020-09-08 14:30:00,3.7,"3.7 day(s) ago","newbies"
"103","newbies",2020-09-12 07:13:00,"2020","17:02","bkmrhat","0.1.16",2020-09-08 15:02:00,3.7,"3.7 day(s) ago","newbies"
"104","newbies",2020-09-12 07:13:00,"2020","17:32","fingertipsR","1.0.5",2020-09-08 15:32:00,3.7,"3.7 day(s) ago","newbies"
"105","newbies",2020-09-12 07:13:00,"2020","16:08","gmGeostats","0.10-6",2020-09-08 14:08:00,3.7,"3.7 day(s) ago","newbies"
"106","newbies",2020-09-12 07:13:00,"2020","15:46","grpCox","1.0.1",2020-09-08 13:46:00,3.7,"3.7 day(s) ago","newbies"
"107","newbies",2020-09-12 07:13:00,"2020","17:31","jmvReadWrite","0.1.0",2020-09-08 15:31:00,3.7,"3.7 day(s) ago","newbies"
"108","newbies",2020-09-12 07:13:00,"2020","14:25","RcppSpdlog","0.0.1",2020-09-08 12:25:00,3.8,"3.8 day(s) ago","newbies"
"109","newbies",2020-09-12 07:13:00,"2020","14:47","iNZightPlots","2.12.4",2020-09-08 12:47:00,3.8,"3.8 day(s) ago","newbies"
"110","newbies",2020-09-12 07:13:00,"2020","13:42","robservable","0.2.0",2020-09-08 11:42:00,3.8,"3.8 day(s) ago","newbies"
"111","newbies",2020-09-12 07:13:00,"2020","12:02","composits","0.1.0",2020-09-08 10:02:00,3.9,"3.9 day(s) ago","newbies"
"112","newbies",2020-09-12 07:13:00,"2020","10:02","epitweetr","0.1.17",2020-09-08 08:02:00,4,"4 day(s) ago","newbies"
"113","newbies",2020-09-12 07:13:00,"2020","07:46","irt","0.1.0",2020-09-08 05:46:00,4.1,"4.1 day(s) ago","newbies"
"114","newbies",2020-09-12 07:13:00,"2020","03:49","incase","0.1.0",2020-09-08 01:49:00,4.2,"4.2 day(s) ago","newbies"
"115","newbies",2020-09-12 07:13:00,"2020","04:32","testtwice","1.0.3",2020-09-08 02:32:00,4.2,"4.2 day(s) ago","newbies"
"116","newbies",2020-09-12 07:13:00,"2020","02:17","FuncNN","1.0",2020-09-08 00:17:00,4.3,"4.3 day(s) ago","newbies"
"117","newbies",2020-09-12 07:13:00,"2020","03:06","html2R","0.1.0",2020-09-08 01:06:00,4.3,"4.3 day(s) ago","newbies"
"118","newbies",2020-09-12 07:13:00,"2020","20:32","crimeutils","0.1.0",2020-09-07 18:32:00,4.5,"4.5 day(s) ago","newbies"
"119","newbies",2020-09-12 07:13:00,"2020","21:13","ec50estimator","0.1.0",2020-09-07 19:13:00,4.5,"4.5 day(s) ago","newbies"
"120","newbies",2020-09-12 07:13:00,"2020","18:42","cat2cat","0.1.2",2020-09-07 16:42:00,4.6,"4.6 day(s) ago","newbies"
"121","newbies",2020-09-12 07:13:00,"2020","17:46","robomit","1.0.3",2020-09-07 15:46:00,4.6,"4.6 day(s) ago","newbies"
"122","newbies",2020-09-12 07:13:00,"2020","19:15","rsbp","0.1.0",2020-09-07 17:15:00,4.6,"4.6 day(s) ago","newbies"
"123","newbies",2020-09-12 07:13:00,"2020","17:13","BRIDES","1.2.0",2020-09-07 15:13:00,4.7,"4.7 day(s) ago","newbies"
"124","newbies",2020-09-12 07:13:00,"2020","15:36","IntCal","0.1.1",2020-09-07 13:36:00,4.7,"4.7 day(s) ago","newbies"
"125","newbies",2020-09-12 07:13:00,"2020","16:21","MABOUST","1.0.0",2020-09-07 14:21:00,4.7,"4.7 day(s) ago","newbies"
"126","newbies",2020-09-12 07:13:00,"2020","15:33","gauseR","1.0",2020-09-07 13:33:00,4.7,"4.7 day(s) ago","newbies"
"127","newbies",2020-09-12 07:13:00,"2020","15:49","image.textlinedetector","0.1.0",2020-09-07 13:49:00,4.7,"4.7 day(s) ago","newbies"
"128","newbies",2020-09-12 07:13:00,"2020","14:05","acumos","0.4-0",2020-09-07 12:05:00,4.8,"4.8 day(s) ago","newbies"
"129","newbies",2020-09-12 07:13:00,"2020","14:29","dPCP","1.0.1",2020-09-07 12:29:00,4.8,"4.8 day(s) ago","newbies"
"130","newbies",2020-09-12 07:13:00,"2020","13:21","onlineforecast","0.9.3",2020-09-07 11:21:00,4.8,"4.8 day(s) ago","newbies"
"131","newbies",2020-09-12 07:13:00,"2020","13:18","pdfboxr","2.0.19",2020-09-07 11:18:00,4.8,"4.8 day(s) ago","newbies"
"132","newbies",2020-09-12 07:13:00,"2020","11:30","rater","1.0.0",2020-09-07 09:30:00,4.9,"4.9 day(s) ago","newbies"
"133","newbies",2020-09-12 07:13:00,"2020","09:05","ROI.plugin.osqp","1.0-0",2020-09-07 07:05:00,5,"5 day(s) ago","newbies"
"134","newbies",2020-09-12 07:13:00,"2020","09:50","eatATA","0.7.0",2020-09-07 07:50:00,5,"5 day(s) ago","newbies"
"135","newbies",2020-09-12 07:13:00,"2020","14:56","SlaPMEG","1.0.0",2020-09-06 12:56:00,5.8,"5.8 day(s) ago","newbies"
"136","newbies",2020-09-12 07:13:00,"2020","13:03","lsei","1.3-0",2020-09-06 11:03:00,5.8,"5.8 day(s) ago","newbies"
"137","newbies",2020-09-12 07:13:00,"2020","04:36","Riemann","0.1.0",2020-09-06 02:36:00,6.2,"6.2 day(s) ago","newbies"
"138","newbies",2020-09-12 07:13:00,"2020","22:27","ClinSigMeasures","1.0",2020-09-05 20:27:00,6.4,"6.4 day(s) ago","newbies"
"139","newbies",2020-09-12 07:13:00,"2020","19:04","rsBayes","0.1.0",2020-09-05 17:04:00,6.6,"6.6 day(s) ago","newbies"
"140","newbies",2020-09-12 07:13:00,"2020","13:10","importas","0.2.0",2020-09-05 11:10:00,6.8,"6.8 day(s) ago","newbies"
"141","newbies",2020-09-12 07:13:00,"2020","14:56","rumidas","0.1.0",2020-09-05 12:56:00,6.8,"6.8 day(s) ago","newbies"
"142","newbies",2020-09-12 07:13:00,"2020","12:17","atakrig","0.9.7",2020-09-05 10:17:00,6.9,"6.9 day(s) ago","newbies"
"143","newbies",2020-09-12 07:13:00,"2020","09:50","GARCHIto","0.1.0",2020-09-05 07:50:00,7,"7 day(s) ago","newbies"
"144","newbies",2020-09-12 07:13:00,"2020","09:53","slanter","0.1-0",2020-09-05 07:53:00,7,"7 day(s) ago","newbies"
"145","newbies",2020-09-12 07:13:00,"2020","00:49","SBICgraph","0.1.0",2020-09-04 22:49:00,7.3,"7.3 day(s) ago","newbies"
"146","newbies",2020-09-12 07:13:00,"2020","22:59","LifeInsuranceContracts","0.0.1",2020-09-04 20:59:00,7.4,"7.4 day(s) ago","newbies"
"147","newbies",2020-09-12 07:13:00,"2020","23:57","combinedevents","0.1.0",2020-09-04 21:57:00,7.4,"7.4 day(s) ago","newbies"
"148","newbies",2020-09-12 07:13:00,"2020","23:19","ripserr","0.1.0",2020-09-04 21:19:00,7.4,"7.4 day(s) ago","newbies"
"149","newbies",2020-09-12 07:13:00,"2020","00:26","treeplyr","0.1.10",2020-09-04 22:26:00,7.4,"7.4 day(s) ago","newbies"
"150","newbies",2020-09-12 07:13:00,"2020","21:07","rjqpd","0.2.2",2020-09-04 19:07:00,7.5,"7.5 day(s) ago","newbies"
"151","newbies",2020-09-12 07:13:00,"2020","21:20","sanic","0.0.1",2020-09-04 19:20:00,7.5,"7.5 day(s) ago","newbies"
"152","newbies",2020-09-12 07:13:00,"2020","18:55","RSmallTelescopes","1.0.1",2020-09-04 16:55:00,7.6,"7.6 day(s) ago","newbies"
"153","newbies",2020-09-12 07:13:00,"2020","19:49","binsegRcpp","2020.9.3",2020-09-04 17:49:00,7.6,"7.6 day(s) ago","newbies"
"154","newbies",2020-09-12 07:13:00,"2020","17:41","shinyMergely","0.1.0",2020-09-04 15:41:00,7.6,"7.6 day(s) ago","newbies"
"155","pending",2020-09-12 07:13:00,"2020","00:01","simplextree","1.0.1",2020-09-09 22:01:00,2.4,"2.4 day(s) ago","pending"
"156","pending",2020-09-12 07:13:00,"2020","21:57","mets","1.2.8.1",2020-09-09 19:57:00,2.5,"2.5 day(s) ago","pending"
"157","pending",2020-09-12 07:13:00,"2020","04:15","rhoR","1.3.0.3",2020-09-09 02:15:00,3.2,"3.2 day(s) ago","pending"
"158","pending",2020-09-12 07:13:00,"2020","16:37","FLSSS","8.6.5",2020-09-08 14:37:00,3.7,"3.7 day(s) ago","pending"
"159","pending",2020-09-12 07:13:00,"2020","09:34","rBiasCorrection","0.2.2",2020-09-08 07:34:00,4,"4 day(s) ago","pending"
"160","pending",2020-09-12 07:13:00,"2020","04:45","cmdfun","1.0.1",2020-08-27 02:45:00,16.2,"16.2 day(s) ago","pending"
"161","pretest",2020-09-12 07:13:00,"2020","15:31","AnaCoDa","0.1.4.0",2020-09-11 13:31:00,0.7,"0.7 day(s) ago","pretest"
"162","pretest",2020-09-12 07:13:00,"2020","16:24","AnaCoDa","0.1.4.1",2020-09-11 14:24:00,0.7,"0.7 day(s) ago","pretest"
"163","pretest",2020-09-12 07:13:00,"2020","15:56","DTRreg","1.7",2020-09-11 13:56:00,0.7,"0.7 day(s) ago","pretest"
"164","pretest",2020-09-12 07:13:00,"2020","15:46","covr","3.5.1",2020-09-11 13:46:00,0.7,"0.7 day(s) ago","pretest"
"165","pretest",2020-09-12 07:13:00,"2020","15:51","dmdScheme","1.2.4",2020-09-11 13:51:00,0.7,"0.7 day(s) ago","pretest"
"166","pretest",2020-09-12 07:13:00,"2020","15:40","nls.multstart","1.2.0",2020-09-11 13:40:00,0.7,"0.7 day(s) ago","pretest"
"167","pretest",2020-09-12 07:13:00,"2020","15:34","tgp","2.4-17",2020-09-11 13:34:00,0.7,"0.7 day(s) ago","pretest"
"168","pretest",2020-09-12 07:13:00,"2020","16:16","tidyRSS","2.0.3",2020-09-11 14:16:00,0.7,"0.7 day(s) ago","pretest"
"169","publish",2020-09-12 07:13:00,"2020","06:59","MRReg","0.1.2",2020-09-12 04:59:00,0.1,"0.1 day(s) ago","publish"
"170","recheck",2020-09-12 07:13:00,"2020","04:47","RNetCDF","2.4-2",2020-09-12 02:47:00,0.2,"0.2 day(s) ago","recheck"
"171","recheck",2020-09-12 07:13:00,"2020","20:02","r2dii.data","0.1.3",2020-09-11 18:02:00,0.5,"0.5 day(s) ago","recheck"
"172","recheck",2020-09-12 07:13:00,"2020","19:21","tidyBF","0.3.0",2020-09-11 17:21:00,0.6,"0.6 day(s) ago","recheck"
"173","recheck",2020-09-12 07:13:00,"2020","17:17","xlsx","0.6.4.2",2020-09-11 15:17:00,0.7,"0.7 day(s) ago","recheck"
"174","recheck",2020-09-12 07:13:00,"2020","10:28","RNiftyReg","2.7.0",2020-09-11 08:28:00,0.9,"0.9 day(s) ago","recheck"
"175","recheck",2020-09-12 07:13:00,"2020","10:27","mlr3","0.6.0",2020-09-11 08:27:00,0.9,"0.9 day(s) ago","recheck"
"176","recheck",2020-09-12 07:13:00,"2020","12:12","revdbayes","1.3.9",2020-09-11 10:12:00,0.9,"0.9 day(s) ago","recheck"
"177","recheck",2020-09-12 07:13:00,"2020","09:31","ENMeval","0.3.1",2020-09-11 07:31:00,1,"1 day(s) ago","recheck"
"178","recheck",2020-09-12 07:13:00,"2020","09:06","parameters","0.8.5",2020-09-11 07:06:00,1,"1 day(s) ago","recheck"
"179","recheck",2020-09-12 07:13:00,"2020","09:22","shinyalert","2.0.0",2020-09-11 07:22:00,1,"1 day(s) ago","recheck"
"180","recheck",2020-09-12 07:13:00,"2020","00:26","pkgdown","1.6.1",2020-09-10 22:26:00,1.4,"1.4 day(s) ago","recheck"
"181","recheck",2020-09-12 07:13:00,"2020","22:22","baseline","1.3-1",2020-09-10 20:22:00,1.5,"1.5 day(s) ago","recheck"
"182","recheck",2020-09-12 07:13:00,"2020","21:01","withr","2.3.0",2020-09-10 19:01:00,1.5,"1.5 day(s) ago","recheck"
"183","recheck",2020-09-12 07:13:00,"2020","19:28","PMCMRplus","1.5.0",2020-09-10 17:28:00,1.6,"1.6 day(s) ago","recheck"
"184","recheck",2020-09-12 07:13:00,"2020","15:22","padr","0.5.3",2020-09-10 13:22:00,1.7,"1.7 day(s) ago","recheck"
"185","recheck",2020-09-12 07:13:00,"2020","17:27","riingo","0.3.1",2020-09-10 15:27:00,1.7,"1.7 day(s) ago","recheck"
"186","recheck",2020-09-12 07:13:00,"2020","13:57","RSSL","0.9.2",2020-09-10 11:57:00,1.8,"1.8 day(s) ago","recheck"
"187","recheck",2020-09-12 07:13:00,"2020","13:49","gamlss","5.2-0",2020-09-10 11:49:00,1.8,"1.8 day(s) ago","recheck"
"188","recheck",2020-09-12 07:13:00,"2020","11:39","DescToolsAddIns","1.8",2020-09-10 09:39:00,1.9,"1.9 day(s) ago","recheck"
"189","recheck",2020-09-12 07:13:00,"2020","00:41","deldir","0.1-29",2020-09-09 22:41:00,2.4,"2.4 day(s) ago","recheck"
