"","subfolder","snapshot_time","year","time","package","version","submission_time","howlongago","folder"
"83",NA,2020-09-12 20:11:45,"2020","14:20","rinat","0.1.6",2020-09-09 12:20:00,3.3,"newbies"
"84",NA,2020-09-12 20:11:45,"2020","12:12","disdat","1.0-0",2020-09-09 10:12:00,3.4,"newbies"
"85",NA,2020-09-12 20:11:45,"2020","11:58","icesVocab","1.1.6",2020-09-09 09:58:00,3.4,"newbies"
"86",NA,2020-09-12 20:11:45,"2020","11:26","lefko3","2.4.2",2020-09-09 09:26:00,3.4,"newbies"
"87",NA,2020-09-12 20:11:45,"2020","11:44","rct3","1.0.3",2020-09-09 09:44:00,3.4,"newbies"
"88",NA,2020-09-12 20:11:45,"2020","13:06","zipcodeR","0.1.0",2020-09-09 11:06:00,3.4,"newbies"
"89",NA,2020-09-12 20:11:45,"2020","10:56","metabolic","0.1.0",2020-09-09 08:56:00,3.5,"newbies"
"90",NA,2020-09-12 20:11:45,"2020","09:22","textshaping","0.1.0",2020-09-09 07:22:00,3.5,"newbies"
"91",NA,2020-09-12 20:11:45,"2020","07:19","corona","0.2.0",2020-09-09 05:19:00,3.6,"newbies"
"92",NA,2020-09-12 20:11:45,"2020","02:39","incidental","0.1",2020-09-09 00:39:00,3.8,"newbies"
"93",NA,2020-09-12 20:11:45,"2020","21:07","CNVRG","0.1",2020-09-08 19:07:00,4,"newbies"
"94",NA,2020-09-12 20:11:45,"2020","22:25","simscaleR","0.1.0",2020-09-08 20:25:00,4,"newbies"
"95",NA,2020-09-12 20:11:45,"2020","19:48","AGPRIS","1.0",2020-09-08 17:48:00,4.1,"newbies"
"96",NA,2020-09-12 20:11:45,"2020","19:36","genset","0.1.0",2020-09-08 17:36:00,4.1,"newbies"
"97",NA,2020-09-12 20:11:45,"2020","16:30","RCGLS","1.0.3",2020-09-08 14:30:00,4.2,"newbies"
"98",NA,2020-09-12 20:11:45,"2020","17:02","bkmrhat","0.1.16",2020-09-08 15:02:00,4.2,"newbies"
"99",NA,2020-09-12 20:11:45,"2020","17:32","fingertipsR","1.0.5",2020-09-08 15:32:00,4.2,"newbies"
"100",NA,2020-09-12 20:11:45,"2020","17:31","jmvReadWrite","0.1.0",2020-09-08 15:31:00,4.2,"newbies"
"101",NA,2020-09-12 20:11:45,"2020","14:25","RcppSpdlog","0.0.1",2020-09-08 12:25:00,4.3,"newbies"
"102",NA,2020-09-12 20:11:45,"2020","16:08","gmGeostats","0.10-6",2020-09-08 14:08:00,4.3,"newbies"
"103",NA,2020-09-12 20:11:45,"2020","15:46","grpCox","1.0.1",2020-09-08 13:46:00,4.3,"newbies"
"104",NA,2020-09-12 20:11:45,"2020","14:47","iNZightPlots","2.12.4",2020-09-08 12:47:00,4.3,"newbies"
"105",NA,2020-09-12 20:11:45,"2020","12:02","composits","0.1.0",2020-09-08 10:02:00,4.4,"newbies"
"106",NA,2020-09-12 20:11:45,"2020","13:42","robservable","0.2.0",2020-09-08 11:42:00,4.4,"newbies"
"107",NA,2020-09-12 20:11:45,"2020","10:02","epitweetr","0.1.17",2020-09-08 08:02:00,4.5,"newbies"
"108",NA,2020-09-12 20:11:45,"2020","07:46","irt","0.1.0",2020-09-08 05:46:00,4.6,"newbies"
"109",NA,2020-09-12 20:11:45,"2020","04:32","testtwice","1.0.3",2020-09-08 02:32:00,4.7,"newbies"
